25	125	0.0330529
25	150	0.0227797
25	175	0.0227797
25	199	0.0272463
50	125	0.0768257
50	150	0.0991588
50	175	0.247897
50	199	0.0853123
100	125	0.368496
100	150	0.486414
100	175	0.363582
100	199	0.360902
200	125	1.4378
200	150	1.51954
200	175	1.42351
200	199	1.42574
400	125	6.52304
400	150	7.10549
400	175	6.51634
400	199	6.95318
25	125	0.0232264
25	150	0.0223331
25	175	0.0232264
25	199	0.0223331
50	125	0.0616393
50	150	0.0643192
50	175	0.0656592
50	199	0.0652125
100	125	0.347056
100	150	0.359116
100	175	0.412268
100	199	0.349289
200	125	1.41279
200	150	1.3976
200	175	1.3909
200	199	1.40832
400	125	8.32934
400	150	6.63203
400	175	6.95496
400	199	6.96122
25	125	0.023673
25	150	0.0227797
25	175	0.0227797
25	199	0.023673
50	125	0.0647659
50	150	0.104965
50	175	0.104965
50	199	0.0638726
100	125	0.345269
100	150	0.346162
100	175	0.340803
100	199	0.383235
200	125	1.39269
200	150	1.39135
200	175	1.50302
200	199	1.81836
400	125	6.70751
400	150	6.58021
400	175	7.63523
400	199	7.53562
25	125	0.0232264
25	150	0.0223331
25	175	0.027693
25	199	0.0232264
50	125	0.0634259
50	150	0.0625326
50	175	0.0625326
50	199	0.0620859
100	125	0.342589
100	150	0.348396
100	175	0.345716
100	199	0.515894
200	125	1.39046
200	150	1.49766
200	175	1.40341
200	199	1.43155
400	125	8.08859
400	150	6.99784
400	175	7.09566
400	199	6.73878
25	125	0.0227797
25	150	0.0634259
25	175	0.0232264
25	199	0.0223331
50	125	0.0647659
50	150	0.0638726
50	175	0.0652125
50	199	0.0629792
100	125	0.347949
100	150	0.347056
100	175	0.347949
100	199	0.387255
200	125	1.43646
200	150	1.44182
200	175	1.43244
200	199	1.40386
400	125	6.7897
400	150	9.69434
400	175	6.52393
6	0	0.0125065
6	0	0.0107199
6	0	0.0133998
6	0	0.0138465
6	0	0.0129532
6	0	0.0107199
6	0	0.0102732
6	0	0.0138465
