25	125	0.0294796
25	150	0.029033
25	175	0.030373
25	199	0.023673
50	125	0.0647659
50	150	0.0625326
50	175	0.0625326
50	199	0.0544927
100	125	0.195638
100	150	0.175091
100	175	0.207251
100	199	0.193404
200	125	0.657932
200	150	0.674459
200	175	0.684285
200	199	0.668205
400	125	2.52364
400	150	2.64111
400	175	2.39366
400	199	2.50756
25	125	0.0232264
25	150	0.023673
25	175	0.0232264
25	199	0.0232264
50	125	0.0562793
50	150	0.055386
50	175	0.0678925
50	199	0.0549393
100	125	0.175091
100	150	0.175985
100	175	0.175538
100	199	0.230031
200	125	0.660612
200	150	0.660612
200	175	0.640512
200	199	0.679372
400	125	2.43341
400	150	2.5491
400	175	2.55758
400	199	2.50175
25	125	0.023673
25	150	0.0241197
25	175	0.023673
25	199	0.023673
50	125	0.056726
50	150	0.0558327
50	175	0.0544927
50	199	0.0549393
100	125	0.175985
100	150	0.171071
100	175	0.176431
100	199	0.213504
200	125	0.649445
200	150	0.765577
200	175	0.660165
200	199	0.663292
400	125	2.49148
400	150	2.43252
400	175	2.44056
400	199	2.46334
25	125	0.023673
25	150	0.0241197
25	175	0.0232264
25	199	0.0241197
50	125	0.0549393
50	150	0.0558327
50	175	0.0544927
50	199	0.055386
100	125	0.176878
100	150	0.179558
100	175	0.178665
100	199	0.178665
200	125	0.684732
200	150	0.646766
200	175	0.655699
200	199	0.650339
400	125	2.39276
400	150	2.41018
400	175	2.48835
400	199	2.51381
25	125	0.0227797
25	150	0.0245664
25	175	0.0232264
25	199	0.023673
50	125	0.055386
50	150	0.0625326
50	175	0.0535994
50	199	0.055386
100	125	0.171965
100	150	0.199658
100	175	0.175091
100	199	0.178665
200	125	0.655252
200	150	0.668652
200	175	0.654359
200	199	0.661059
400	125	2.462
400	150	3.53934
400	175	2.46512
6	0	0.0174198
6	0	0.0200998
